bots 15 bot txs 16126 curve-event txs 10694 v4 txs 1206

bot          launches    spent $  received $ net $ (unsold=0)     ROI  win% unsold%  buy t (s) p10/med hold med (s)  $/launch
0xd91abf0e7a     1962     17,706       9,931           -7,775  -43.9%    1%     20%      4.9/170.9          2053.0         9
0xd4b453fb66     1073     17,680       5,455          -12,224  -69.1%    2%     45%      4.7/48.1           2447.0        16
0x6198a07454      440      1,225         659             -566  -46.2%    0%      5%    668.6/1850.9         4784.0         3
0x03c3239111      352     14,396      11,686           -2,710  -18.8%    5%     11%      1.3/2.9            5022.0        41
0xa601f6fe12      253      3,297       1,041           -2,256  -68.4%    1%      2%    349.5/699.2          1970.0        13
0x9eed092b5f      225     54,688      61,696            7,008   12.8%   31%      0%      1.9/2.8              21.0       243
0xddf8cbf85e      220     35,140      35,586              445    1.3%   20%      2%      1.1/1.6              89.0       160
0xbc46a7f04e      175    107,515     138,346           30,831   28.7%   39%      0%      0.3/0.8               7.0       614
0xff335b2c27      137     14,214      12,034           -2,180  -15.3%   18%      2%      0.8/1.3             185.0       104
0xbf77645100      130      1,914       1,800             -114   -6.0%    0%      3%    343.7/379.6         13367.0        15
0xbbcea8b6c8      125     41,279      43,765            2,486    6.0%   26%      0%      1.6/2.1               3.0       330
0x31ee40cdb0       12     12,692         776          -11,916  -93.9%   17%      0%      1.6/1.7            1463.0     1,058
0x2d6da07581        4     85,830           0          -85,830 -100.0%    0%      0%      1.2/1.4               n/a    21,458
