
=== fit (4 windows, 96 h): 73 of 73 fires priced in 137 s; fixed-ETH buyers behind us, the 3% cap, the exit's impact; gas $0.33
 stake  in (avg)  capped   return   win  $/burst   $/day     best    worst
$13    $      13       0   +26.3%   59%    +3.09     +56    +32.4     -9.5
$25    $      25       0   +26.0%   59%    +6.18    +113    +62.3    -17.9
$50    $      50       0   +25.5%   59%   +12.40    +226   +123.5    -35.5
$100   $     100       0   +24.3%   59%   +24.01    +438   +241.7    -70.9
$150   $     150       0   +23.2%   59%   +34.53    +630   +354.5   -106.3
$200   $     200       0   +22.2%   59%   +44.02    +803   +462.2   -141.8
$250   $     247       9   +21.2%   59%   +52.22    +953   +565.0   -177.3
$300   $     286      21   +20.4%   59%   +59.21   +1081   +663.2   -213.0

=== paper (5 windows, 34 h): 12 of 12 fires priced in 24 s; fixed-ETH buyers behind us, the 3% cap, the exit's impact; gas $0.33
 stake  in (avg)  capped   return   win  $/burst   $/day     best    worst
$13    $      13       0   +15.0%   42%    +1.62     +14    +21.5     -2.9
$25    $      25       0   +14.8%   50%    +3.36     +28    +41.4     -5.4
$50    $      50       0   +14.3%   50%    +6.80     +58    +82.2    -10.6
$100   $     100       0   +13.3%   50%   +12.95    +110   +161.2    -21.5
$150   $     150       0   +12.3%   50%   +18.14    +154   +236.7    -33.1
$200   $     200       0   +11.4%   50%   +22.43    +190   +308.9    -45.4
$250   $     250       0   +10.5%   50%   +25.83    +219   +377.9    -58.4
$300   $     300       0    +9.6%   50%   +28.41    +241   +443.9    -71.9
