date,pons_burned,burn_usd_at_price,protocol_revenue_defillama,fees_defillama,n_transfers
2026-07-13,119667032,1504752,0,0,12
2026-07-14,51940794,653129,16347,159750,25
2026-07-15,8240685,103622,81828,683026,26
2026-07-16,2892824,36376,143906,518446,14
2026-07-17,5996296,75400,108006,387233,8
2026-07-18,4801768,54191,129313,458896,26
2026-07-19,1885598,30807,156398,546628,23
2026-07-20,2410057,44875,296207,1010243,25
2026-07-21,2842661,88909,450179,1535814,32
2026-07-22,2921953,117686,387059,1311611,41
2026-07-23,1816365,50780,367003,1283312,34
2026-07-24,5417258,197372,331836,1121193,87
2026-07-25,2904086,113965,272228,900719,88
2026-07-26,2429143,119848,387747,1303955,93
2026-07-27,6320343,334330,270835,1074846,96
2026-07-28,2384912,111889,219498,862002,86
2026-07-29,2374452,93802,186313,738922,73
2026-07-30,2396184,89823,119636,462410,4
2026-07-31,4476988,153449,125031,489955,24
2026-08-01,530490,14099,94607,388464,60
2026-08-02,5316845,148249,89137,349070,21
2026-08-03,331666,10414,85713,345317,9
2026-08-04,3695444,98210,101205,416739,17
2026-08-05,6291310,132996,93228,392197,32
2026-08-06,6622595,123739,103715,435833,30
2026-08-07,3131238,84469,130763,545023,31
2026-08-08,2269246,67454,132692,553826,27
2026-08-09,4580738,160588,112721,487791,33
2026-08-10,571008,22743,145832,591596,25
2026-08-11,3562812,153789,110053,444534,33
2026-08-12,1281908,59407,117763,518406,29
2026-08-13,1324311,60273,95497,466436,35
2026-08-14,1456699,56317,148438,721366,33
2026-08-15,1358171,50841,86982,450504,1152
2026-08-16,2417481,72339,59365,283884,213
2026-08-17,2020543,65811,60626,284637,426
2026-08-18,883025,24873,70316,338958,213
2026-08-19,767568,25658,65936,308437,347
2026-08-20,715841,27362,54986,252524,245
2026-08-21,617379,23136,85579,414374,76
2026-08-22,639139,23814,88573,411692,59
2026-08-23,525342,22938,84587,360621,42
2026-08-24,335414,23856,135537,613757,64
2026-08-25,2528448,249846,199411,1241863,68
2026-08-26,1178,140,284087,1481296,47
2026-08-27,349151,42498,390966,2322752,561
2026-08-28,1602432,216491,331730,1941026,280
2026-08-29,287007,48145,632626,3827609,311
2026-08-30,80788,24909,1011045,5339476,261
2026-08-31,986293,335197,974030,4890493,337
2026-09-01,1917603,835907,909887,4557472,139
2026-09-02,182525,74885,1113819,5947208,96
2026-09-03,128049,69637,1255801,6397513,73
2026-09-04,1334197,831969,0,0,695
